<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>
2023.01.24,14:00:00,1.08667,1.08764,1.08591,1.08597,3562
2023.01.24,15:00:00,1.08598,1.08808,1.08542,1.0866,6270
2023.01.24,16:00:00,1.0866,1.08701,1.08405,1.08423,9377
2023.01.24,17:00:00,1.08423,1.08806,1.08352,1.08753,11766
2023.01.24,18:00:00,1.08753,1.08833,1.08671,1.08718,6271
2023.01.24,19:00:00,1.08717,1.08871,1.08702,1.08833,4826
2023.01.24,20:00:00,1.08833,1.08889,1.08769,1.08791,3297
2023.01.24,21:00:00,1.08792,1.08845,1.08741,1.08839,2419
2023.01.24,22:00:00,1.08842,1.08848,1.08792,1.08816,2435
2023.01.24,23:00:00,1.08817,1.0889,1.08807,1.08879,2424
2023.01.25,0:00:00,1.08856,1.08876,1.08791,1.08848,384
2023.01.25,1:00:00,1.08847,1.08904,1.08828,1.08899,1755
2023.01.25,2:00:00,1.08897,1.08906,1.08809,1.08871,2306
2023.01.25,3:00:00,1.08871,1.08942,1.08842,1.0893,2010
2023.01.25,4:00:00,1.08931,1.09015,1.0893,1.08966,1361
2023.01.25,5:00:00,1.08963,1.08994,1.08926,1.08972,1392
2023.01.25,6:00:00,1.08973,1.09028,1.08971,1.08987,1231
2023.01.25,7:00:00,1.08988,1.08996,1.08919,1.08976,1303
2023.01.25,8:00:00,1.08977,1.09113,1.08956,1.09063,2564
2023.01.25,9:00:00,1.09064,1.09113,1.08788,1.08811,4475
2023.01.25,10:00:00,1.08811,1.08914,1.08676,1.0877,5405
2023.01.25,11:00:00,1.08769,1.08919,1.087,1.08813,4630
2023.01.25,12:00:00,1.08814,1.08814,1.08632,1.08659,4708
2023.01.25,13:00:00,1.08658,1.08697,1.08574,1.08645,4308
2023.01.25,14:00:00,1.08643,1.08769,1.08586,1.08742,4317
2023.01.25,15:00:00,1.08739,1.08849,1.08646,1.08721,5561
2023.01.25,16:00:00,1.08721,1.09005,1.08685,1.0894,7421
